iter	MultiClass
0	2.609979949
1	2.392087377
2	2.271190322
3	2.130541932
4	2.040340633
5	1.96504686
6	1.888362097
7	1.82137717
8	1.761894243
9	1.701141001
10	1.655927266
11	1.615982005
12	1.578154355
13	1.526799389
14	1.499678434
15	1.471932058
16	1.432399935
17	1.400725534
18	1.366458574
19	1.337700077
20	1.313682628
21	1.283874707
22	1.272960145
23	1.253189186
24	1.235996263
25	1.22192925
26	1.19912564
27	1.184919769
28	1.16836886
29	1.160203614
30	1.15016842
31	1.142838722
32	1.12835061
33	1.116957339
34	1.105722247
35	1.094086038
36	1.085466311
37	1.075185879
38	1.063210825
39	1.055377671
40	1.047344595
41	1.041000181
42	1.03080908
43	1.023784713
44	1.014824331
45	1.005753623
46	0.9964179701
47	0.9874217872
48	0.9824581904
49	0.9773640035
50	0.9717677627
51	0.966952774
52	0.9575299814
53	0.950708296
54	0.9411883892
55	0.9357082535
56	0.929702373
57	0.9264537791
58	0.9182719281
59	0.914076296
60	0.9077042403
61	0.9032268157
62	0.899663726
63	0.8965313236
64	0.8918274463
65	0.8862129324
66	0.8791643648
67	0.8755760843
68	0.8722405641
69	0.8700874078
70	0.8652486047
71	0.8604789669
72	0.8583097956
73	0.855696881
74	0.8497757637
75	0.8467945197
76	0.8436245524
77	0.8411090366
78	0.8389061644
79	0.8342785435
80	0.829593812
81	0.8262886774
82	0.8224706902
83	0.8208247902
84	0.818445547
85	0.8159600861
86	0.8144025374
87	0.8117998772
88	0.8080844734
89	0.8055740619
90	0.8022368927
91	0.7984085827
92	0.797426055
93	0.7940793756
94	0.7906125033
95	0.7872541676
96	0.7851994878
97	0.7812800047
98	0.7777939155
99	0.7745126727
100	0.7711832942
101	0.7681172715
102	0.7642118974
103	0.7626976417
104	0.7591783557
105	0.7568727432
106	0.7535954653
107	0.7509853661
108	0.7467995138
109	0.7449384247
110	0.7428924034
111	0.7398960785
112	0.7369598036
113	0.7347053811
114	0.7328854724
115	0.7299381591
116	0.7281612591
117	0.7258555645
118	0.7225417595
119	0.7200084475
120	0.7179510733
121	0.7174023788
122	0.7148187874
123	0.7124786062
124	0.7096739431
125	0.7067616214
126	0.704743584
127	0.7020134414
128	0.6997578607
129	0.697548476
130	0.6965962989
131	0.6947032631
132	0.6926575118
133	0.6900632171
134	0.6873918134
135	0.6860341189
136	0.6838471074
137	0.6823017174
138	0.6804460678
139	0.6793605602
140	0.6783603585
141	0.6767723599
142	0.6744425047
143	0.6720614271
144	0.6708059799
145	0.6691663421
146	0.6681354127
147	0.6652946752
148	0.6630549476
149	0.6609539001
150	0.6596292827
151	0.6582379611
152	0.6557083589
153	0.6530634178
154	0.6514094724
155	0.6488443025
156	0.6465878911
157	0.6455688599
158	0.6435452247
159	0.641884542
160	0.6394061256
161	0.6376118083
162	0.6354718805
163	0.6341871211
164	0.6322936077
165	0.6309194056
166	0.6283277428
167	0.6263325336
168	0.6238884606
169	0.6221374937
170	0.6214017787
171	0.6204483348
172	0.6188179552
173	0.617091446
174	0.615719209
175	0.6147492015
176	0.6136899439
177	0.6115997316
178	0.6107455028
179	0.6095309386
180	0.6083603545
181	0.6070100424
182	0.6060847018
183	0.6041303179
184	0.6034188306
185	0.6020398887
186	0.6006332843
187	0.5991426767
188	0.5975793802
189	0.5960287812
190	0.593535448
191	0.5929351073
192	0.5915865524
193	0.589476754
194	0.5877388987
195	0.5860897055
196	0.5840298709
197	0.5829061301
198	0.5817181305
199	0.5803920616
200	0.5791948898
201	0.5780924614
202	0.5762436707
203	0.5745001035
204	0.5730481221
205	0.5711967044
206	0.5699740836
207	0.5691432311
208	0.5678021724
209	0.5666387121
210	0.5656226366
211	0.5644908585
212	0.5631459102
213	0.5613738363
214	0.5598928102
215	0.5586292235
216	0.5573368614
217	0.5561541327
218	0.5549465896
219	0.5532447393
220	0.5516811903
221	0.5504085611
222	0.5490158859
223	0.5477387885
224	0.5460699419
225	0.5448680825
226	0.5433799653
227	0.5419106588
228	0.5407766217
229	0.5394851805
230	0.5386436247
231	0.5376564239
232	0.5361412884
233	0.5347053366
234	0.5338435118
235	0.5328505873
236	0.5320732966
237	0.5310222106
238	0.5303346907
239	0.5291349056
240	0.528342352
241	0.526998941
242	0.5262990513
243	0.525088557
244	0.5237019701
245	0.5227652765
246	0.5218478259
247	0.5212074755
248	0.520278788
249	0.5189449713
250	0.5178857839
251	0.517249625
